caco3_flow_rate_kmol/hr,calciner_temp_DegC,pellet_moisture_frac,air_mol_flow_rate_kmol/hr,RH_air,DAC_column_height_m,pellet_diameter_mm,DAC_ambient_temp_DegC,e_voidage,capture_efficiency_%,SECC
97.51497652307926,921.2851520851044,0.4935123917600362,8833.277512674438,0.8010224164742635,4.9192903625775175,3.805631183172771,21.74219824621972,0.4390792623970295,6.52314301558002,105.4108245049215
31.90655757809084,939.5070473804964,0.3339390506863801,8082.465699781671,0.7677652642812576,2.6245538838277764,5.462603460355524,34.839420414899564,0.4271760166130814,1.83009062363092,160.7623737225443
66.41943185332791,929.838272850957,0.4264626004699651,7335.719043694309,0.8360213105277129,1.9008744635528183,4.928280075013301,24.921964398876764,0.4294121162723884,2.3754979879518903,130.35936919014426
99.0387795063574,900.1740524585695,0.3473162643572065,7315.145792736941,0.5753184349680929,9.355005360214072,4.34681697680908,38.66420818250776,0.3974697945635095,6.788364086061,171.61732619786187
98.46231580548891,905.306137542962,0.1120638657756649,7753.304553629136,0.2482619981937387,2.872000751070658,1.7681483533193134,41.26944751697721,0.4343941044675825,3.42167894860567,257.3582158616934
50.97091753548227,897.8119602346716,0.0948122617281888,7071.69319782554,0.2242619658195435,5.049062935761978,4.746961804719135,28.18715192165064,0.3627667967175926,2.13336331504014,357.99484372236293
48.63393191685953,895.9108335461818,0.3799098993360945,7922.619623344099,0.5419607635650454,1.858838763171717,4.738924011867125,36.894147690741285,0.3844174064869341,1.13162908716794,363.91615158760027
44.2217515527632,927.2417851189527,0.1915216034238545,8824.942938378143,0.4961501136307151,7.016402501243144,3.9747407629439033,41.624075503388006,0.4280305169508793,3.7755632861145,224.48554642534035
74.22853931651198,909.6465079790182,0.3731135110782195,7256.3223416852115,0.1930254197376177,3.4568170598587566,4.9660823762261295,21.622874406026355,0.4321362686568087,1.0177705535408499,430.2871383119142
28.823209409311136,938.2347461613596,0.2956811178872652,8512.034506861643,0.6023261730260743,2.230297687874482,4.493809942679302,34.688518638564105,0.4340801812816254,1.3357174413869501,237.22936776766022
32.12147247442527,935.4958955986888,0.4960319379907137,8626.789327342802,0.3131133262710198,3.1945374926039163,1.5467414082310955,20.87865377721426,0.3728843416761959,4.25728543143205,282.30271792371
14.14622078054129,900.6962216874613,0.4175862733359771,7675.9957029730995,0.2037774860915268,5.961624567163203,2.931014669168458,26.56754688316112,0.3744764982245604,2.39278329232852,410.12209672965724
88.62422819925878,896.2491585614669,0.0926979191106217,8777.119821874705,0.580254657017051,2.382036364645219,2.707200875444679,34.962501431621945,0.436955091743705,3.5187558823209097,179.83162346779042
34.42151198620762,909.846662316971,0.0671395169677498,7913.477009868768,0.8831486596592458,5.386067199031463,5.92463154027409,38.55417627805814,0.3525826440462289,4.7072035142435995,139.42999841093297
