caco3_flow_rate [kmol/hr],calciner_temp [Deg C],pellet_moisture_frac,air_mol_flow_rate [kmol/hr],RH_air,DAC_column_height [m],pellet_diameter [mm],DAC_ambient_temp [Deg C],e_voidage,sim_index,Simulation_status,Failure_reason,Heat_duty[cal/sec],Brake_power[kW],calcium_hydroxide_pellet[kmol_per_hr],SCM_conversion_fraction,Ca(OH)2_conversion,mass_flow_co2_in[kg/hr],mass_flow_co2_out[kg/hr],DAC_inlet_press[atm]
97.51497652307926,921.2851520851044,0.4935123917600362,8833.277512674438,0.8010224164742635,4.9192903625775175,3.805631183172771,21.74219824621972,0.4390792623970295,0.0,Success,,1453011.2773790385,3315.3238,197.73235,0.06523143015580023,0.001974953315910981,129.933354,121.457616,1.425451730430963
31.90655757809084,939.5070473804964,0.3339390506863801,8082.465699781671,0.7677652642812576,2.6245538838277764,5.462603460355524,34.839420414899564,0.4271760166130814,1.0,Success,,479714.0799908743,1585.60372,61.0852576,0.01830090623630924,0.0016934169390869123,129.933354,127.555456,1.197886383395596
66.41943185332791,929.838272850957,0.4264626004699651,7335.719043694309,0.8360213105277129,1.9008744635528183,4.928280075013301,24.921964398876764,0.4294121162723884,2.0,Success,,993868.4706166814,1093.61784,133.214233,0.02375497987951892,0.0010559193891995766,129.933354,126.84679,1.1382244074847268
5.255307856591103,916.2279478458872,0.0820387527009462,8304.100432443804,0.103659992921866,9.76006142888796,4.125588819518024,21.88719393241975,0.4188918662400832,3.0,Failure,"(-2147352567, 'Exception occurred.', (14, 'VASetValue (see errcode)', 'Invalid number. -NAN(INE). is not a valid real', None, 0, 0), None)",,,,,,,,
99.0387795063574,900.1740524585695,0.3473162643572065,7315.145792736941,0.5753184349680929,9.355005360214072,4.34681697680908,38.66420818250776,0.3974697945635095,4.0,Success,,1460315.3380114045,6795.426,191.346494,0.06788364086061006,0.0020236299660305293,129.933354,121.113005,1.9745007707968425
98.46231580548891,905.306137542962,0.1120638657756649,7753.304553629136,0.2482619981937387,2.872000751070658,1.7681483533193134,41.26944751697721,0.4343941044675825,5.0,Success,,1455533.6373323868,4722.67587,138.745351,0.0342167894860567,0.001025983712122639,129.933354,125.487452,1.6321674078744455
50.97091753548227,897.8119602346716,0.0948122617281888,7071.69319782554,0.2242619658195435,5.049062935761978,4.746961804719135,28.18715192165064,0.3627667967175926,6.0,Success,,750674.8297715355,4697.99006,68.9567452,0.021333633150401418,0.0012357016483345962,129.933354,127.161404,1.628367358635855
48.63393191685953,895.9108335461818,0.3799098993360945,7922.619623344099,0.5419607635650454,1.858838763171717,4.738924011867125,36.894147690741285,0.3844174064869341,7.0,Success,,715577.0664481681,2167.55054,95.7402976,0.011316290871679456,0.0006869671562161121,129.933354,128.46299,1.2713045842334263
44.2217515527632,927.2417851189527,0.1915216034238545,8824.942938378143,0.4961501136307151,7.016402501243144,3.9747407629439033,41.624075503388006,0.4280305169508793,8.0,Success,,660865.2420436793,5416.25044,72.3748978,0.037755632861145014,0.0025206762413337754,129.933354,125.027638,1.7415498166365375
74.22853931651198,909.6465079790182,0.3731135110782195,7256.3223416852115,0.1930254197376177,3.4568170598587566,4.9660823762261295,21.622874406026355,0.4321362686568087,9.0,Success,,1099666.4518922698,1906.47574,145.613316,0.010177705535408518,0.00040480905785831304,129.933354,128.610931,1.237981267612942
